sold_date,address,city,state,zip,property_type,price,beds,baths,square_feet,lot_size,year_built,price_per_square_foot,hoa_month,neighborhood_or_location,latitude,longitude,source,mls_number,redfin_url,date_source_note,original_row_number
2026-05-15,419 Hillside Ln,Santa Monica,CA,90402,Single Family Residential,3215000,3,3.0,2963,6155,1983,1085,,Santa Monica,34.0325145,-118.5184793,TheMLS,26660219,https://www.redfin.com/CA/Santa-Monica/419-Hillside-Ln-90402/home/6840460,Original Redfin export,234
2026-05-11,522 Arbramar Ave,Pacific Palisades,CA,90272,Single Family Residential,3600000,4,5.0,3594,8721,1938,1002,,Pacific Palisades,34.0428316,-118.5355037,TheMLS,26665235,https://www.redfin.com/CA/Pacific-Palisades/522-Arbramar-Ave-90272/home/6842180,Original Redfin export,198
2026-05-05,14903 Pampas Ricas Blvd,Pacific Palisades,CA,90272,Single Family Residential,6600000,5,4.0,3445,13800,1949,1916,42.0,Pacific Palisades,34.0408887,-118.5199123,TheMLS,25622295,https://www.redfin.com/CA/Pacific-Palisades/14903-Pampas-Ricas-Blvd-90272/home/6840840,Original Redfin export,318
2026-04-22,501 Toyopa Dr,Pacific Palisades,CA,90272,Single Family Residential,7762750,5,6.0,5782,9930,2006,1343,29.0,Pacific Palisades,34.0367702,-118.5201759,TheMLS,26647309,https://www.redfin.com/CA/Pacific-Palisades/501-Toyopa-Dr-90272/home/6840964,Original Redfin export,245
2026-04-21,16868 Calle De Sarah,Pacific Palisades,CA,90272,Single Family Residential,3875000,5,5.0,5791,15011,1995,669,1107.0,Pacific Palisades,34.0778866,-118.5516348,TheMLS,26632697,https://www.redfin.com/CA/Pacific-Palisades/16868-Calle-de-Sarah-90272/home/6849283,Original Redfin export,291
2026-04-15,1367 Beckwith Ave,Los Angeles,CA,90049,Single Family Residential,8395000,5,6.0,5420,9097,1953,1549,,Brentwood,34.0528572,-118.4955322,TheMLS,26666407,https://www.redfin.com/CA/Los-Angeles/1367-Beckwith-Ave-90049/home/6839238,Original Redfin export,86
2026-04-14,16906 Enchanted Pl,Pacific Palisades,CA,90272,Single Family Residential,3575000,4,4.0,2901,9874,1957,1232,,Pacific Palisades,34.05136,-118.5482157,TheMLS,26658305,https://www.redfin.com/CA/Pacific-Palisades/16906-Enchanted-Pl-90272/home/6843849,Original Redfin export,117
2026-04-13,408 Ocampo Dr,Pacific Palisades,CA,90272,Single Family Residential,8900000,6,6.0,5350,8562,2000,1664,,Pacific Palisades,34.0361149,-118.5220919,TheMLS,26715427,https://www.redfin.com/CA/Pacific-Palisades/408-Ocampo-Dr-90272/home/6841032,Original Redfin export,25
2026-04-08,1413 Allenford Ave,Los Angeles,CA,90049,Single Family Residential,4380000,4,4.0,2820,9877,1953,1553,,Brentwood,34.0538143,-118.4941774,TheMLS,26661917,https://www.redfin.com/CA/Los-Angeles/1413-Allenford-Ave-90049/home/6839265,Original Redfin export,135
2026-04-03,735 Lachman Ln,Pacific Palisades,CA,90272,Single Family Residential,3965000,4,4.0,3663,7410,1954,1082,,Pacific Palisades,34.0495795,-118.5460657,TheMLS,26637483,https://www.redfin.com/CA/Pacific-Palisades/735-Lachman-Ln-90272/home/6844028,Original Redfin export,247
